Region,County,First Dose,Series Complete,Report as of
Western New York,Niagara,152347,142962,03/24/2023
Finger Lakes,Wyoming,23578,22299,03/24/2023
Mid-Hudson,Westchester,895682,804505,03/24/2023
Finger Lakes,Wayne,66251,62400,03/24/2023
Capital Region,Washington,42221,40101,03/24/2023
Capital Region,Warren,52758,49715,03/24/2023
Mid-Hudson,Ulster,149748,136945,03/24/2023
Southern Tier,Tompkins,90482,82180,03/24/2023
Southern Tier,Tioga,25891,24501,03/24/2023
Mid-Hudson,Sullivan,51790,46823,03/24/2023
Long Island,Suffolk,1253318,1137459,03/24/2023
Southern Tier,Steuben,56667,53219,03/24/2023
North Country,St. Lawrence,75290,69899,03/24/2023
Finger Lakes,Seneca,19832,18567,03/24/2023
Southern Tier,Schuyler,11387,10544,03/24/2023
Mohawk Valley,Schoharie,19617,18552,03/24/2023
Capital Region,Schenectady,137831,127280,03/24/2023
Capital Region,Saratoga,190701,177830,03/24/2023
Mid-Hudson,Rockland,235819,211645,03/24/2023
New York City,Richmond,395841,362999,03/24/2023
Capital Region,Rensselaer,120748,111540,03/24/2023
New York City,Queens,2234762,2004919,03/24/2023
Mid-Hudson,Putnam,84283,75493,03/24/2023
Mohawk Valley,Otsego,40965,38261,03/24/2023
Central New York,Oswego,80282,75504,03/24/2023
Finger Lakes,Orleans,24597,23145,03/24/2023
Mid-Hudson,Orange,268111,243602,03/24/2023
Finger Lakes,Ontario,86216,80965,03/24/2023
Central New York,Onondaga,373902,343258,03/24/2023
Mohawk Valley,Oneida,158027,146655,03/24/2023
Finger Lakes,Yates,14854,13867,03/24/2023
New York City,New York,1673995,1429738,03/24/2023
Long Island,Nassau,1264589,1151487,03/24/2023
Mohawk Valley,Montgomery,35712,33687,03/24/2023
Finger Lakes,Monroe,593438,552391,03/24/2023
Central New York,Madison,55089,51500,03/24/2023
Finger Lakes,Livingston,40848,38659,03/24/2023
North Country,Lewis,14603,13879,03/24/2023
New York City,Kings,2127016,1914551,03/24/2023
North Country,Jefferson,76604,64330,03/24/2023
Mohawk Valley,Herkimer,37339,34988,03/24/2023
North Country,Hamilton,3569,3305,03/24/2023
Capital Region,Greene,32706,29745,03/24/2023
Finger Lakes,Genesee,38186,36044,03/24/2023
Mohawk Valley,Fulton,30521,28749,03/24/2023
North Country,Franklin,31533,29470,03/24/2023
North Country,Essex,28105,26214,03/24/2023
Western New York,Erie,724533,672385,03/24/2023
Mid-Hudson,Dutchess,234608,211042,03/24/2023
Southern Tier,Delaware,26896,24902,03/24/2023
Central New York,Cortland,30142,28434,03/24/2023
Capital Region,Columbia,46532,42396,03/24/2023
